Time;FACT_P_L;PRED_P_L
2021-12-31 01:00:00;267.70468090510593;153.83606272985688
2021-12-31 02:00:00;239.93702201513386;156.1502696706019
2021-12-31 03:00:00;240.87499108362005;151.2231625619324
2021-12-31 04:00:00;223.1285136840801;143.2225914649789
2021-12-31 05:00:00;230.37420418179866;136.53045997163179
2021-12-31 06:00:00;209.87774433340914;132.3658711756968
2021-12-31 07:00:00;176.40921900419693;129.89225949518925
2021-12-31 08:00:00;192.12323988633798;125.28068684691631
2021-12-31 09:00:00;211.10508766892096;121.31202275848108
2021-12-31 10:00:00;216.65620928908731;118.59286855295764
2021-12-31 11:00:00;199.0171413086896;116.84051571267048
2021-12-31 12:00:00;169.03169418501815;113.41275648611573
2021-12-31 13:00:00;200.96276680898865;105.7824582155726
2021-12-31 14:00:00;186.47201488659624;94.87706746932525
2021-12-31 15:00:00;188.30717439592638;85.59048054036006
2021-12-31 16:00:00;236.49184377936064;83.29245692298223
2021-12-31 17:00:00;263.8660777250345;89.19948071291945
2021-12-31 18:00:00;244.64271498943523;98.95450504072409
2021-12-31 19:00:00;235.7408706215913;106.02306532967799
2021-12-31 20:00:00;260.1232744488419;107.04704915648692
2021-12-31 21:00:00;255.47357216859552;104.38704657316191
2021-12-31 22:00:00;234.16590142797682;103.61435052442549
2021-12-31 23:00:00;258.5589628389061;108.31587605247462
2022-01-01 00:00:00;273.6907241060926;116.91891582424583
2022-01-01 01:00:00;269.05309095960246;124.20587819192248
2022-01-01 02:00:00;264.48092082115096;125.83102533945447
2022-01-01 03:00:00;234.89886253320032;121.62111095862828
2022-01-01 04:00:00;260.08503902848435;114.95610845425041
2022-01-01 05:00:00;244.3165517667079;109.36131793012983
2022-01-01 06:00:00;220.15627475327196;105.805241017406
2022-01-01 07:00:00;235.01005591136519;103.66130314294345
2022-01-01 08:00:00;238.9988771483158;99.7142600446678
2022-01-01 09:00:00;262.6165915777493;
2022-01-01 10:00:00;259.3259053024353;
2022-01-01 11:00:00;231.21701402485445;
2022-01-01 12:00:00;216.24093019079226;
2022-01-01 13:00:00;262.20749937231255;
2022-01-01 14:00:00;270.33097504797047;
2022-01-01 15:00:00;228.07656308187634;
2022-01-01 16:00:00;239.2072728344069;
2022-01-01 17:00:00;262.10243269634435;
2022-01-01 18:00:00;262.12225755627054;
2022-01-01 19:00:00;228.94505359563567;
2022-01-01 20:00:00;253.36745506627963;
2022-01-01 21:00:00;279.4147452915692;
2022-01-01 22:00:00;242.6662229993514;
2022-01-01 23:00:00;281.43380430749744;
2022-01-02 00:00:00;286.76845751019516;
2022-01-02 01:00:00;238.2898979326728;
2022-01-02 02:00:00;238.28853453321383;
2022-01-02 03:00:00;248.69433071539294;
2022-01-02 04:00:00;268.59875409760656;
2022-01-02 05:00:00;268.69174249463225;
2022-01-02 06:00:00;265.683290183564;
2022-01-02 07:00:00;239.88550631446645;
2022-01-02 08:00:00;253.42535149537497;
2022-01-02 09:00:00;265.05800333055606;
2022-01-02 10:00:00;276.7776013389452;
2022-01-02 11:00:00;245.4202689074451;
2022-01-02 12:00:00;188.0680784146206;
2022-01-02 13:00:00;239.08062046714974;
2022-01-02 14:00:00;208.1711431991204;
2022-01-02 15:00:00;201.84632744976813;
2022-01-02 16:00:00;245.59405761490768;
2022-01-02 17:00:00;272.1588393704991;
2022-01-02 18:00:00;239.194620039403;
2022-01-02 19:00:00;231.7650828390046;
2022-01-02 20:00:00;263.59822442969244;
2022-01-02 21:00:00;257.72599867829723;
2022-01-02 22:00:00;230.49027408546172;
2022-01-02 23:00:00;244.1553656350555;
2022-01-03 00:00:00;246.34713151163854;
2022-01-03 01:00:00;209.5344799427969;
2022-01-03 02:00:00;193.76553158361048;
2022-01-03 03:00:00;221.20194405306697;
2022-01-03 04:00:00;238.17560583588204;
2022-01-03 05:00:00;237.76907203778052;
2022-01-03 06:00:00;189.02140155830816;
2022-01-03 07:00:00;204.70919007033234;
2022-01-03 08:00:00;229.37391036301875;
2022-01-03 09:00:00;263.4828161413781;
2022-01-03 10:00:00;272.3782639990505;
2022-01-03 11:00:00;231.72732663050957;
2022-01-03 12:00:00;243.27721700034022;
2022-01-03 13:00:00;261.8184492293615;
2022-01-03 14:00:00;238.61854648435713;
2022-01-03 15:00:00;261.9962550080917;
2022-01-03 16:00:00;244.46674703145774;
2022-01-03 17:00:00;247.124844678256;
2022-01-03 18:00:00;273.41109479311626;
2022-01-03 19:00:00;251.10328539685665;
2022-01-03 20:00:00;267.2575209083905;
2022-01-03 21:00:00;242.77839348068645;
2022-01-03 22:00:00;222.13637920485914;
2022-01-03 23:00:00;248.06842271711986;
2022-01-04 00:00:00;276.59126433057486;
2022-01-04 01:00:00;263.26621106558343;
2022-01-04 02:00:00;226.6837615665954;
2022-01-04 03:00:00;255.7854682202387;
2022-01-04 04:00:00;254.30911693539576;
2022-01-04 05:00:00;219.08490851789816;
2022-01-04 06:00:00;210.26868380921385;
2022-01-04 07:00:00;276.12298275070526;
2022-01-04 08:00:00;281.05230806034746;
2022-01-04 09:00:00;266.87450798902813;
2022-01-04 10:00:00;236.42995842785882;
2022-01-04 11:00:00;232.66185647284948;
2022-01-04 12:00:00;243.84416784018947;
2022-01-04 13:00:00;248.44347290878522;
2022-01-04 14:00:00;232.61874784717003;
2022-01-04 15:00:00;263.59514929413245;
2022-01-04 16:00:00;238.79783593276522;
2022-01-04 17:00:00;252.3406930282488;
2022-01-04 18:00:00;258.4432711709217;
2022-01-04 19:00:00;233.36047769145006;
2022-01-04 20:00:00;251.71063382834325;
2022-01-04 21:00:00;261.609267042476;
2022-01-04 22:00:00;263.69337398953735;
2022-01-04 23:00:00;251.8793130584872;
2022-01-05 00:00:00;237.0641381961484;
2022-01-05 01:00:00;227.95059796265411;
2022-01-05 02:00:00;242.8282262663832;
2022-01-05 03:00:00;257.81687896559123;
2022-01-05 04:00:00;275.2877526684829;
2022-01-05 05:00:00;276.78220049757806;
2022-01-05 06:00:00;250.41625069817505;
2022-01-05 07:00:00;223.12707089494373;
2022-01-05 08:00:00;260.4822926783141;
2022-01-05 09:00:00;259.00061764772215;
2022-01-05 10:00:00;255.8523512451381;
2022-01-05 11:00:00;234.8184047156547;
2022-01-05 12:00:00;228.84910469745844;
2022-01-05 13:00:00;205.394789881594;
